tau,ratio,ratio_std,err
0.014244556012355832,0.10421875,0.01096759253152213,0.07694400876782148
0.015898679069214317,0.12609375,0.007842131307081007,0.09881900876782149
0.017293633402042617,0.1334375,0.015771191101181924,0.10616275876782147
0.017744884145677892,0.14953125,0.008026749711900824,0.12225650876782149
0.019805476415537912,0.17515625,0.01349822760355966,0.1478815087678215
0.022105351200163808,0.2,0.016274020707864423,0.1727252587678215
0.02373718228369931,0.20687499999999998,0.01967509529837149,0.17960025876782146
0.024672294744661018,0.21921875000000002,0.010306579740025305,0.1919440087678215
0.02753731992111107,0.32171875000000005,0.21877226449195405,0.2944440087678215
0.03258157552380037,0.34781249999999997,0.21523492797115898,0.3205377587678214
0.0447213595499958,0.32265625000000003,0.029800361129313512,0.2953815087678215
0.06138438574092371,0.41390625000000003,0.13264207815937404,0.3866315087678215
0.08425599871529119,0.43625,0.09307465081857683,0.4089752587678215
0.11564949675432423,0.45703125,0.09193862061689581,0.42975650876782145
0.15874010519681997,0.433125,0.015129648046137756,0.40585025876782144
0.21788612752398578,0.44703125,0.015847632660353418,0.41975650876782145
0.29906975624424403,0.47734375,0.048220025906644856,0.45006900876782147
0.4105021284117567,0.46718750000000003,0.019179965947571445,0.4399127587678215
0.5634538227695682,0.473125,0.018791620472966137,0.4458502587678215
0.7733947972985648,0.47640625000000003,0.017493720971751555,0.4491315087678215
1.0615590636131074,0.47828125,0.017319803288071724,0.45100650876782145
1.457092353705219,0.47953125,0.01831727220241868,0.4522565087678215
2.0,0.4815625,0.01945296812185738,0.45428775876782146
